ownername,car_no,dealername,ownercity,model,price_in_usd
Jane Williams,BMW4471,Hendrick Automotive,San Jose,BMW 5 Series,86933.93
Chris Taylor,BMW1939,Hendrick Automotive,Phoenix,BMW 5 Series,64548.8
Jane Brown,BMW2626,Lithia Motors,Dallas,BMW 3 Series,48725.36
David Taylor,BMW4273,CarMax,Philadelphia,BMW 3 Series,49943.3
Emily Wilson,BMW9583,Penske Automotive,New York,BMW 7 Series,80003.11
Sarah Wilson,BMW2578,AutoNation,Dallas,BMW Z4,57677.04
Jane Williams,BMW5137,Group 1 Automotive,San Diego,BMW X1,48176.27
Michael Davis,BMW4271,Sonic Automotive,Philadelphia,BMW 3 Series,96663.51
Alex Taylor,BMW2315,Penske Automotive,San Jose,BMW 3 Series,92696.36
Alex Johnson,BMW7164,Lithia Motors,New York,BMW X1,46149.74
Alex Brown,BMW7188,Penske Automotive,Philadelphia,BMW X7,85570.12
John Wilson,BMW5517,Lithia Motors,Los Angeles,BMW X5,72047.01
Sarah Wilson,BMW2477,AutoNation,Houston,BMW X3,88893.49
John Johnson,BMW4979,AutoNation,New York,BMW X1,49592.18
John Moore,BMW2475,Hendrick Automotive,Los Angeles,BMW 5 Series,83792.93
Michael Wilson,BMW9457,Sonic Automotive,San Antonio,BMW X5,94503.04
David Wilson,BMW4407,Sonic Automotive,New York,BMW 7 Series,74182.98
Katie Williams,BMW6259,Hendrick Automotive,Philadelphia,BMW X1,41057.96
Emily Jones,BMW3873,AutoNation,New York,BMW Z4,43234.57
Alex Jones,BMW7706,AutoNation,Dallas,BMW X5,38113.87
Katie Davis,BMW6998,Hendrick Automotive,Philadelphia,BMW 5 Series,63777.21
Sarah Williams,BMW2970,Penske Automotive,Chicago,BMW X1,90781.32
Laura Smith,BMW5503,Penske Automotive,Philadelphia,BMW X1,96528.15
Michael Moore,BMW5207,Hendrick Automotive,Dallas,BMW X3,78440.5
Alex Smith,BMW7126,Penske Automotive,Philadelphia,BMW 3 Series,76936.95
John Brown,BMW1341,Sonic Automotive,New York,BMW 5 Series,66014.98
Jane Moore,BMW2307,Hendrick Automotive,Chicago,BMW 3 Series,95078.02
David Miller,BMW7072,Lithia Motors,San Diego,BMW 7 Series,54344.1
Laura Brown,BMW3621,Lithia Motors,Los Angeles,BMW 5 Series,76509.72
Katie Wilson,BMW9253,Hendrick Automotive,San Diego,BMW X1,80692.43
Chris Taylor,BMW2264,Lithia Motors,Phoenix,BMW 5 Series,76532.77
David Williams,BMW9820,Sonic Automotive,Los Angeles,BMW X5,94896.73
Emily Jones,BMW3881,Sonic Automotive,San Antonio,BMW X7,83595.48
Jane Miller,BMW1172,CarMax,San Diego,BMW 7 Series,99079.04
Alex Johnson,BMW3483,AutoNation,San Jose,BMW X7,42199.48
Alex Brown,BMW2910,Group 1 Automotive,Los Angeles,BMW X3,39183.89
John Jones,BMW2323,AutoNation,Los Angeles,BMW Z4,52707.64
Katie Moore,BMW4070,Sonic Automotive,Phoenix,BMW 3 Series,85336.64
Sarah Miller,BMW4274,Penske Automotive,Phoenix,BMW 7 Series,94252.07
Jane Davis,BMW8890,Sonic Automotive,San Antonio,BMW X5,50101.92
David Williams,BMW3422,Penske Automotive,Philadelphia,BMW X5,51421.87
Alex Williams,BMW2206,CarMax,San Antonio,BMW 5 Series,57573.22
Jane Davis,BMW8955,Hendrick Automotive,San Jose,BMW X3,52999.27
Michael Wilson,BMW9062,Penske Automotive,San Diego,BMW X3,94614.08
Alex Miller,BMW2974,Lithia Motors,Philadelphia,BMW X7,51038.37
John Taylor,BMW8395,Penske Automotive,Phoenix,BMW Z4,48464.79
Michael Davis,BMW6954,CarMax,Los Angeles,BMW Z4,99764.93
Emily Taylor,BMW1776,Lithia Motors,Philadelphia,BMW X1,86184.84
Sarah Davis,BMW9429,Sonic Automotive,Chicago,BMW X7,92494.0
Katie Johnson,BMW6937,Hendrick Automotive,San Antonio,BMW X1,36485.57
Laura Miller,BMW5600,CarMax,San Jose,BMW X1,75923.0
Katie Brown,BMW9232,AutoNation,San Diego,BMW X3,39942.67
John Williams,BMW1543,Group 1 Automotive,San Diego,BMW X7,59708.54
Alex Wilson,BMW2519,CarMax,San Jose,BMW X1,61925.18
Katie Taylor,BMW9600,Sonic Automotive,San Antonio,BMW X3,97596.33
Laura Brown,BMW4829,Group 1 Automotive,San Diego,BMW X7,93576.99
Jane Miller,BMW1985,CarMax,San Antonio,BMW 3 Series,50205.85
David Brown,BMW4881,Penske Automotive,San Diego,BMW X5,82306.93
Emily Moore,BMW3468,Group 1 Automotive,San Jose,BMW X5,57854.08
Alex Smith,BMW2811,AutoNation,San Antonio,BMW 5 Series,77975.56
John Johnson,BMW3176,Group 1 Automotive,New York,BMW X7,69349.93
Chris Brown,BMW2030,Group 1 Automotive,San Jose,BMW 5 Series,46056.33
Jane Wilson,BMW3928,CarMax,New York,BMW X5,40042.04
Laura Miller,BMW4116,AutoNation,Phoenix,BMW X3,41557.76
Laura Wilson,BMW3405,AutoNation,San Jose,BMW X3,95217.41
David Johnson,BMW4431,Hendrick Automotive,Chicago,BMW X5,82266.33
John Smith,BMW2849,AutoNation,Chicago,BMW X1,66105.28
Katie Williams,BMW1845,Lithia Motors,Philadelphia,BMW 5 Series,72394.58
Laura Williams,BMW2243,AutoNation,Phoenix,BMW X7,73469.0
Emily Williams,BMW7537,CarMax,Los Angeles,BMW 7 Series,87494.1
Laura Moore,BMW4883,AutoNation,San Antonio,BMW 7 Series,37785.56
Emily Davis,BMW2089,Sonic Automotive,Dallas,BMW Z4,51089.87
John Brown,BMW8824,CarMax,Phoenix,BMW X3,61032.44
Sarah Brown,BMW4144,AutoNation,Houston,BMW 7 Series,57269.59
Katie Brown,BMW9404,Lithia Motors,Philadelphia,BMW 3 Series,57661.79
Jane Moore,BMW4103,Sonic Automotive,San Diego,BMW X3,53853.52
Jane Johnson,BMW2064,Hendrick Automotive,San Diego,BMW X5,72772.41
Chris Moore,BMW4920,Sonic Automotive,Houston,BMW 3 Series,62449.76
Michael Wilson,BMW5584,Group 1 Automotive,Los Angeles,BMW Z4,98225.09
Jane Wilson,BMW4299,AutoNation,San Diego,BMW X1,37780.95
Laura Miller,BMW7693,Hendrick Automotive,New York,BMW Z4,76077.17
Emily Johnson,BMW2384,Group 1 Automotive,Dallas,BMW 3 Series,88255.13
Emily Smith,BMW7283,Sonic Automotive,Houston,BMW X3,76198.78
John Wilson,BMW4131,AutoNation,New York,BMW 7 Series,46322.5
Katie Moore,BMW6602,Lithia Motors,New York,BMW 3 Series,63239.11
Michael Jones,BMW5408,AutoNation,New York,BMW Z4,72738.16
Laura Miller,BMW2803,Lithia Motors,Houston,BMW X1,46521.24
Jane Taylor,BMW5848,AutoNation,San Antonio,BMW Z4,97832.22
Emily Miller,BMW4193,Penske Automotive,San Jose,BMW X5,39625.47
Katie Johnson,BMW3218,CarMax,Dallas,BMW Z4,35521.32
Jane Miller,BMW4364,AutoNation,San Diego,BMW 3 Series,56272.86
Jane Moore,BMW4379,CarMax,Phoenix,BMW 5 Series,53079.07
Emily Jones,BMW1061,Penske Automotive,Houston,BMW 3 Series,68447.62
Alex Wilson,BMW3449,Penske Automotive,Dallas,BMW Z4,84115.14
Katie Johnson,BMW3832,Hendrick Automotive,Dallas,BMW X5,54621.6
Alex Miller,BMW5199,Group 1 Automotive,San Diego,BMW Z4,86360.01
Alex Johnson,BMW6537,Hendrick Automotive,San Diego,BMW 7 Series,60224.73
Alex Johnson,BMW1403,Penske Automotive,Houston,BMW Z4,58858.38
Michael Johnson,BMW4286,Hendrick Automotive,Los Angeles,BMW X5,84073.39
Chris Taylor,BMW6518,Penske Automotive,Los Angeles,BMW X3,40090.37
David Johnson,BMW6231,Sonic Automotive,New York,BMW X1,43270.47
John Brown,BMW2052,CarMax,Dallas,BMW 3 Series,74640.78
John Taylor,BMW4404,AutoNation,Chicago,BMW 7 Series,98145.95
Chris Johnson,BMW3816,CarMax,Philadelphia,BMW 5 Series,74011.65
Chris Johnson,BMW2373,Sonic Automotive,Chicago,BMW X3,88532.17
Michael Davis,BMW9511,Hendrick Automotive,Phoenix,BMW X7,52396.12
Emily Davis,BMW6924,CarMax,San Antonio,BMW 7 Series,74520.41
Sarah Wilson,BMW5546,Penske Automotive,San Jose,BMW X3,65249.0
Michael Brown,BMW3704,Lithia Motors,Philadelphia,BMW X5,84171.65
John Williams,BMW9082,CarMax,New York,BMW X5,84276.95
John Moore,BMW2221,Sonic Automotive,Phoenix,BMW 3 Series,85725.24
Jane Jones,BMW1377,AutoNation,San Jose,BMW 7 Series,55001.22
Katie Moore,BMW2802,Lithia Motors,Chicago,BMW X3,91317.74
Laura Jones,BMW2536,Lithia Motors,Dallas,BMW 3 Series,62179.2
Chris Miller,BMW7558,Penske Automotive,San Jose,BMW 7 Series,79074.6
Michael Miller,BMW9130,Penske Automotive,San Antonio,BMW Z4,79292.83
Sarah Moore,BMW8507,CarMax,San Jose,BMW Z4,60279.54
Michael Taylor,BMW6142,CarMax,San Antonio,BMW 3 Series,42029.51
Jane Smith,BMW8268,Group 1 Automotive,San Antonio,BMW 5 Series,45623.92
Sarah Moore,BMW6700,Group 1 Automotive,San Diego,BMW X1,48677.07
Michael Taylor,BMW8685,AutoNation,Chicago,BMW X3,61907.1
David Miller,BMW3489,Sonic Automotive,Houston,BMW X1,68022.31
Laura Miller,BMW6489,Sonic Automotive,Houston,BMW X5,66527.4
Chris Johnson,BMW6202,AutoNation,San Jose,BMW X5,79983.94
John Taylor,BMW9392,Lithia Motors,Philadelphia,BMW X3,96341.64
Emily Brown,BMW9461,AutoNation,San Antonio,BMW 3 Series,63684.69
Jane Wilson,BMW1517,Hendrick Automotive,Chicago,BMW X3,87200.38
Jane Moore,BMW4305,Group 1 Automotive,Phoenix,BMW X1,45986.99
Emily Johnson,BMW1516,Sonic Automotive,New York,BMW X5,95002.99
Chris Taylor,BMW8525,Hendrick Automotive,New York,BMW 7 Series,75993.46
Katie Davis,BMW6267,Group 1 Automotive,Phoenix,BMW Z4,51830.18
Alex Moore,BMW9603,AutoNation,New York,BMW Z4,71209.58
Sarah Williams,BMW1484,Penske Automotive,San Jose,BMW X1,66310.28
Emily Johnson,BMW4285,CarMax,New York,BMW 3 Series,63898.87
Alex Johnson,BMW9914,Group 1 Automotive,Los Angeles,BMW Z4,74582.13
Emily Davis,BMW9850,Penske Automotive,Philadelphia,BMW X5,39380.46
John Smith,BMW1615,Hendrick Automotive,Dallas,BMW Z4,63118.04
Chris Moore,BMW8192,Penske Automotive,San Antonio,BMW X3,64699.25
Alex Moore,BMW4669,Lithia Motors,Dallas,BMW 5 Series,71592.75
Katie Wilson,BMW9535,Sonic Automotive,Chicago,BMW X5,80310.69
Katie Jones,BMW9594,Penske Automotive,Dallas,BMW X1,86768.87
Jane Wilson,BMW7463,Hendrick Automotive,San Jose,BMW X5,92788.28
Jane Johnson,BMW3418,Lithia Motors,Houston,BMW X5,39484.76
Sarah Moore,BMW3764,Penske Automotive,San Jose,BMW X1,53705.93
Emily Williams,BMW5635,Lithia Motors,Chicago,BMW X3,87549.64
Laura Davis,BMW6707,AutoNation,Dallas,BMW Z4,85497.87
Sarah Moore,BMW3760,Hendrick Automotive,Dallas,BMW X7,52054.5
David Moore,BMW9145,Penske Automotive,Chicago,BMW 5 Series,37115.48
Chris Wilson,BMW2208,Lithia Motors,Philadelphia,BMW X7,51310.27
Sarah Johnson,BMW9234,Lithia Motors,Chicago,BMW 7 Series,36115.61
John Jones,BMW7179,Lithia Motors,Los Angeles,BMW 7 Series,89683.74
Jane Moore,BMW9085,Lithia Motors,San Jose,BMW Z4,87928.75
David Brown,BMW2348,Group 1 Automotive,San Antonio,BMW 5 Series,78680.26
John Taylor,BMW2065,Hendrick Automotive,Dallas,BMW 7 Series,57676.57
Alex Brown,BMW1177,Sonic Automotive,Los Angeles,BMW 7 Series,81980.03
Laura Taylor,BMW8147,Sonic Automotive,Phoenix,BMW 5 Series,94559.24
Emily Davis,BMW7909,CarMax,Los Angeles,BMW 7 Series,80695.65
Jane Johnson,BMW2132,Penske Automotive,Phoenix,BMW X1,41958.55
David Smith,BMW8751,AutoNation,New York,BMW X5,96623.66
John Davis,BMW2756,CarMax,San Diego,BMW X1,74850.4
Michael Davis,BMW1031,CarMax,San Antonio,BMW 7 Series,36780.47
Michael Taylor,BMW8657,AutoNation,Houston,BMW X7,60037.69
Laura Davis,BMW2860,Sonic Automotive,San Antonio,BMW 5 Series,61252.44
Katie Miller,BMW1970,Lithia Motors,San Jose,BMW X5,86524.22
John Smith,BMW5734,Sonic Automotive,San Diego,BMW 7 Series,64569.13
John Jones,BMW8979,Group 1 Automotive,San Jose,BMW 5 Series,60199.5
Sarah Taylor,BMW7124,CarMax,San Jose,BMW 5 Series,99482.17
Emily Miller,BMW7496,Hendrick Automotive,San Antonio,BMW X1,74733.03
Chris Jones,BMW7766,Sonic Automotive,San Diego,BMW X5,80357.32
Michael Davis,BMW4677,Penske Automotive,Houston,BMW Z4,78183.73
Laura Brown,BMW6128,CarMax,Philadelphia,BMW 7 Series,63157.18
Jane Miller,BMW1855,Penske Automotive,Philadelphia,BMW X7,98208.13
Chris Williams,BMW2321,Hendrick Automotive,Dallas,BMW 5 Series,65932.62
Alex Jones,BMW3165,Sonic Automotive,Chicago,BMW Z4,73498.31
Katie Johnson,BMW6016,Sonic Automotive,San Diego,BMW 3 Series,45737.82
David Miller,BMW2032,Lithia Motors,San Jose,BMW X7,60375.07
Michael Johnson,BMW1412,Group 1 Automotive,San Antonio,BMW 7 Series,77301.73
Katie Miller,BMW4340,AutoNation,Houston,BMW Z4,71521.61
Katie Taylor,BMW4130,Lithia Motors,San Jose,BMW Z4,69754.6
Michael Miller,BMW4007,Hendrick Automotive,San Diego,BMW X5,93200.97
John Smith,BMW9420,Penske Automotive,Los Angeles,BMW X1,66830.91
Emily Wilson,BMW1213,Sonic Automotive,Dallas,BMW 3 Series,61466.71
Jane Jones,BMW5995,AutoNation,Philadelphia,BMW 3 Series,91517.58
Laura Taylor,BMW9198,CarMax,Chicago,BMW Z4,43064.25
John Davis,BMW9167,CarMax,San Antonio,BMW X5,63787.54
Laura Jones,BMW1385,AutoNation,San Diego,BMW 7 Series,94260.54
David Miller,BMW2071,Penske Automotive,San Antonio,BMW 7 Series,70782.73
John Smith,BMW2027,Sonic Automotive,New York,BMW X3,70931.59
Alex Johnson,BMW5481,Sonic Automotive,New York,BMW X1,73715.95
Michael Taylor,BMW7991,Hendrick Automotive,New York,BMW X5,92326.95
Chris Taylor,BMW2055,Hendrick Automotive,Chicago,BMW 7 Series,54346.42
Michael Jones,BMW6281,CarMax,Chicago,BMW X3,82281.16
Sarah Miller,BMW8993,Hendrick Automotive,San Antonio,BMW 7 Series,49897.86
Sarah Miller,BMW1595,Sonic Automotive,San Diego,BMW 7 Series,71501.0
Laura Smith,BMW2339,Penske Automotive,Phoenix,BMW X1,47830.84
Chris Moore,BMW8505,Group 1 Automotive,Dallas,BMW 7 Series,95027.88
Chris Davis,BMW4336,Lithia Motors,Chicago,BMW 5 Series,51930.06
Laura Davis,BMW8147,AutoNation,San Jose,BMW X5,67013.54
John Brown,BMW6872,Sonic Automotive,Philadelphia,BMW X1,79433.54
John Williams,BMW9441,Group 1 Automotive,San Diego,BMW 7 Series,63481.65
Katie Moore,BMW1880,Hendrick Automotive,Houston,BMW 5 Series,36944.22
Katie Smith,BMW8667,Hendrick Automotive,San Antonio,BMW Z4,47639.77
Michael Taylor,BMW7728,Penske Automotive,Phoenix,BMW X3,61058.84
David Wilson,BMW4551,Penske Automotive,Houston,BMW X5,95742.8
Sarah Wilson,BMW2130,CarMax,Los Angeles,BMW X5,42469.54
David Jones,BMW2136,AutoNation,New York,BMW 7 Series,58505.66
Michael Jones,BMW1821,CarMax,Phoenix,BMW 7 Series,54573.85
Sarah Miller,BMW4817,Penske Automotive,Philadelphia,BMW Z4,89197.87
Laura Brown,BMW5427,Sonic Automotive,Chicago,BMW X7,57419.68
Chris Wilson,BMW8600,Sonic Automotive,San Diego,BMW 5 Series,50229.26
John Smith,BMW4280,Lithia Motors,San Antonio,BMW X7,82469.92
David Wilson,BMW3178,AutoNation,Philadelphia,BMW X1,89736.16
Michael Smith,BMW8375,Group 1 Automotive,Chicago,BMW X3,85413.22
David Brown,BMW1925,Group 1 Automotive,New York,BMW X5,89586.54
Emily Moore,BMW1814,AutoNation,Los Angeles,BMW X5,70815.33
Alex Miller,BMW7056,Lithia Motors,Dallas,BMW X3,68079.94
Katie Davis,BMW6408,AutoNation,Los Angeles,BMW 3 Series,39870.77
Chris Smith,BMW6974,Group 1 Automotive,Dallas,BMW X7,46992.25
Michael Moore,BMW3286,Group 1 Automotive,Phoenix,BMW 3 Series,73179.24
Sarah Brown,BMW1285,Penske Automotive,San Jose,BMW X3,79598.13
Sarah Wilson,BMW8773,Penske Automotive,Dallas,BMW 5 Series,92961.21
Sarah Miller,BMW7706,CarMax,Los Angeles,BMW X3,74530.44
Katie Brown,BMW2981,CarMax,Philadelphia,BMW X3,91580.59
Chris Wilson,BMW5335,Sonic Automotive,New York,BMW Z4,63199.18
Alex Williams,BMW5963,Sonic Automotive,San Diego,BMW 3 Series,79462.34
Chris Johnson,BMW2322,Lithia Motors,Phoenix,BMW 3 Series,98217.65
Laura Johnson,BMW5094,Group 1 Automotive,Phoenix,BMW X5,49574.58
Emily Brown,BMW4878,Hendrick Automotive,San Antonio,BMW 3 Series,89984.1
Katie Johnson,BMW1468,Hendrick Automotive,San Jose,BMW X3,51171.09
Jane Taylor,BMW1446,AutoNation,San Antonio,BMW 5 Series,52519.66
Emily Jones,BMW7020,AutoNation,Chicago,BMW 3 Series,45477.06
Alex Smith,BMW9152,Group 1 Automotive,San Jose,BMW 7 Series,56574.94
Michael Smith,BMW4202,AutoNation,San Diego,BMW X7,90240.24
Katie Smith,BMW6703,Sonic Automotive,Philadelphia,BMW 7 Series,92828.86
Jane Moore,BMW4314,Hendrick Automotive,San Diego,BMW 5 Series,44657.57
David Taylor,BMW1713,Group 1 Automotive,San Antonio,BMW Z4,50981.5
Laura Williams,BMW8452,Penske Automotive,Philadelphia,BMW X1,71693.24
Sarah Jones,BMW1812,Penske Automotive,Chicago,BMW Z4,79027.17
Chris Davis,BMW9913,Hendrick Automotive,Los Angeles,BMW X7,40111.21
Emily Miller,BMW1754,Group 1 Automotive,Chicago,BMW Z4,44027.84
Laura Davis,BMW3574,AutoNation,San Antonio,BMW X7,64658.98
Emily Johnson,BMW9230,Hendrick Automotive,Phoenix,BMW X3,41719.16
Sarah Davis,BMW2765,Hendrick Automotive,Philadelphia,BMW 5 Series,54212.34
John Brown,BMW1466,Group 1 Automotive,Dallas,BMW Z4,35036.95
David Moore,BMW9782,Hendrick Automotive,San Jose,BMW X5,73890.69
Chris Johnson,BMW9887,Hendrick Automotive,Chicago,BMW X1,41618.87
Emily Wilson,BMW8097,Lithia Motors,San Jose,BMW X5,73365.33
David Williams,BMW9737,Penske Automotive,Houston,BMW 7 Series,54752.01
John Smith,BMW7646,CarMax,San Diego,BMW X7,84527.8
Chris Wilson,BMW2284,Lithia Motors,San Antonio,BMW X7,49035.71
Emily Miller,BMW2256,Hendrick Automotive,Philadelphia,BMW 3 Series,83637.22
Michael Jones,BMW8412,CarMax,Dallas,BMW 3 Series,47330.48
Katie Williams,BMW7132,Sonic Automotive,San Diego,BMW X3,75077.33
Emily Davis,BMW4002,Group 1 Automotive,Philadelphia,BMW X1,56068.67
Chris Smith,BMW6983,Sonic Automotive,New York,BMW Z4,57944.4
Jane Jones,BMW5798,Lithia Motors,Phoenix,BMW 7 Series,73207.75
Emily Davis,BMW7958,Penske Automotive,Philadelphia,BMW 3 Series,75259.86
Laura Brown,BMW3976,Hendrick Automotive,Phoenix,BMW 3 Series,60463.93
Chris Williams,BMW6580,Sonic Automotive,San Jose,BMW X1,63212.72
Alex Smith,BMW6913,AutoNation,Philadelphia,BMW X5,49588.26
Sarah Smith,BMW4162,Penske Automotive,Houston,BMW 5 Series,56549.67
Emily Moore,BMW1185,Lithia Motors,San Jose,BMW Z4,39990.22
Emily Wilson,BMW4790,CarMax,Dallas,BMW 5 Series,99442.01
Jane Williams,BMW2579,Lithia Motors,Philadelphia,BMW 5 Series,70540.18
David Jones,BMW5628,Lithia Motors,Philadelphia,BMW 5 Series,82488.31
David Jones,BMW2279,Hendrick Automotive,San Jose,BMW 3 Series,84489.87
David Brown,BMW4751,Lithia Motors,Chicago,BMW X7,44207.95
Alex Taylor,BMW7798,Penske Automotive,New York,BMW 5 Series,71716.68
Chris Moore,BMW9915,CarMax,Houston,BMW 3 Series,43739.19
Jane Jones,BMW4582,Lithia Motors,Houston,BMW Z4,50962.66
David Miller,BMW1724,Group 1 Automotive,Houston,BMW 5 Series,42101.37
Alex Davis,BMW5655,Penske Automotive,Los Angeles,BMW 3 Series,40541.08
Katie Jones,BMW6987,Group 1 Automotive,Houston,BMW X7,56831.06
Katie Wilson,BMW6602,Hendrick Automotive,Houston,BMW X3,43539.09
Katie Miller,BMW7146,Penske Automotive,Phoenix,BMW X1,83752.81
Jane Johnson,BMW4642,CarMax,Chicago,BMW X7,57907.42
Michael Johnson,BMW7130,CarMax,Phoenix,BMW X3,49825.56
Jane Jones,BMW7193,Penske Automotive,New York,BMW 5 Series,92022.8
John Johnson,BMW8670,AutoNation,San Diego,BMW 5 Series,35094.18
Chris Miller,BMW1185,Hendrick Automotive,Philadelphia,BMW X3,39668.65
Katie Williams,BMW7556,AutoNation,San Jose,BMW 7 Series,73351.5
John Williams,BMW2406,Group 1 Automotive,San Jose,BMW 7 Series,66128.04
Laura Brown,BMW2635,Penske Automotive,Dallas,BMW 5 Series,82352.92
Katie Moore,BMW8328,Penske Automotive,Chicago,BMW 7 Series,88709.95
Katie Miller,BMW9153,Penske Automotive,New York,BMW Z4,59056.28
Michael Davis,BMW6590,Sonic Automotive,Phoenix,BMW X1,40795.01
Katie Moore,BMW2173,Penske Automotive,Chicago,BMW X5,65202.15
Jane Brown,BMW1400,Penske Automotive,Houston,BMW X3,50861.97
Laura Brown,BMW6788,CarMax,Philadelphia,BMW X3,64138.35
Michael Taylor,BMW2065,CarMax,Chicago,BMW 3 Series,74448.98
